,y,ÇÃ.ê⁄ë±èïéå.,Ç.äièïéå.,ÇÕ.ïõèïéå.,Ç….äièïéå.,Ç∆.äièïéå.,Ç™.äièïéå.,Ç‡.ïõèïéå.,ÇÃ.äièïéå.,Ç÷.äièïéå.,Ç©.ê⁄ë±èïéå.,Ç™.ê⁄ë±èïéå.,Ç»Ç™ÇÁ.ê⁄ë±èïéå.,Ç≈.äièïéå.,Ç©ÇÁ.äièïéå.,Ç‚.ê⁄ë±èïéå.,Ç≈Ç‡.ïõèïéå.,Ç….ê⁄ë±èïéå.,Ç©ÇÁ.ê⁄ë±èïéå.,ÇæÇØ.ïõèïéå.,ÇÊÇË.äièïéå.,Ç‹Ç‹.ê⁄ë±èïéå.,Ç‹ÇΩ.ê⁄ë±èïéå.,ÇŒÇ©ÇË.ïõèïéå.,Ç≥Ç¶.ïõèïéå.,ñî.ê⁄ë±èïéå.,Ç¡Çƒ.ïõèïéå.,Ç‹Ç≈.äièïéå.,Ç»Ç«.ïõèïéå.,Ç»ÇË.ê⁄ë±èïéå.,Ç©Ç‡.ê⁄ë±èïéå.,ÇæÇÃ.ê⁄ë±èïéå.,Ç∆.ê⁄ë±èïéå.,Ç©.èIèïéå.,ÇÊÇË.ê⁄ë±èïéå.,ÇµÇ©.ïõèïéå.,Ç‹Ç≈.ê⁄ë±èïéå.,ÇÃÇ›.ïõèïéå.,Ç»ÇÁ.ïõèïéå.,Ç‚ÇÁ.ê⁄ë±èïéå.,OTHERS
T05-11MENSURAZOILI,1916.85,0.161,0.117,0.157,0.08,0.091,0.08,0.04,0.036,0.029,0.051,0.029,0.018,0.033,0.022,0,0,0,0.018,0,0,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004,0,0,0,0,0,0,0,0.015
T05-12ëíãVãL,1916.92,0.15,0.129,0.107,0.12,0.087,0.149,0.025,0.025,0.045,0.036,0.015,0.013,0.038,0.013,0.01,0.003,0.002,0.008,0.005,0.002,0,0.002,0.003,0,0,0.002,0.002,0.002,0,0.002,0,0.002,0.002,0,0,0.002,0,0,0,0.002
T05-12â^,1916.92,0.195,0.168,0.133,0.09,0.031,0.086,0.059,0.027,0.023,0.023,0.012,0.039,0.031,0.035,0.004,0.012,0,0.004,0,0,0,0.004,0.008,0.004,0,0.004,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.004
T06-02íâã`,1917.15,0.159,0.153,0.147,0.121,0.084,0.082,0.045,0.023,0.026,0.011,0.017,0.009,0.037,0.025,0.002,0.003,0.003,0.006,0.004,0.003,0.002,0.006,0.002,0.004,0.001,0.006,0.006,0.005,0.003,0.001,0,0,0.001,0.001,0.001,0.001,0,0.001,0,0.002
T06-04ò˜ìê,1917.31,0.143,0.192,0.135,0.11,0.091,0.068,0.04,0.034,0.025,0.015,0.018,0.037,0.024,0.018,0.004,0.002,0.003,0.004,0.005,0.002,0.003,0.006,0.003,0.003,0,0,0.003,0,0,0.001,0,0.003,0.001,0.001,0,0,0.001,0.001,0,0.003
T06-05Ç≥Ç‹ÇÊÇ¶ÇÈóPëæêl,1917.38,0.181,0.142,0.127,0.164,0.1,0.082,0.046,0.014,0.011,0.009,0.016,0.007,0.023,0.012,0.012,0.007,0.001,0.003,0.006,0.001,0.002,0,0.002,0.005,0.005,0.003,0.001,0,0,0.002,0,0.003,0,0.001,0,0.002,0.002,0.001,0,0.004
T06-08àΩì˙ÇÃëÂêŒì‡ë†èï,1917.62,0.212,0.149,0.126,0.119,0.06,0.093,0.046,0.017,0.04,0.013,0.013,0.013,0.017,0.02,0.003,0.007,0,0.003,0.007,0,0.003,0.007,0.013,0.003,0,0.003,0.003,0,0,0,0,0,0.003,0,0,0,0,0,0,0.007
T06-09ï–óˆ,1917.69,0.12,0.062,0.117,0.117,0.087,0.11,0.052,0.012,0.015,0.027,0.04,0.002,0.055,0.012,0.002,0.005,0,0.027,0.002,0,0,0,0.002,0.002,0,0.012,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0.002,0,0.102
T06-11ãYçÏéOñÜ,1917.85,0.179,0.151,0.147,0.129,0.091,0.079,0.038,0.024,0.017,0.012,0.017,0.022,0.024,0.016,0.005,0.006,0.003,0.004,0.002,0.002,0,0,0.002,0.001,0.01,0.003,0.006,0.001,0.001,0,0,0.001,0.002,0,0.001,0,0.001,0.001,0,0.002
T06-12êºãΩó≤ê∑,1917.92,0.15,0.176,0.12,0.104,0.086,0.066,0.037,0.022,0.031,0.028,0.021,0.032,0.037,0.022,0.005,0.01,0.002,0.005,0.003,0.003,0.003,0.003,0.004,0.003,0,0.01,0.003,0.002,0,0.002,0,0.003,0.002,0,0.001,0.003,0,0,0,0.003
